[i] dataset decdd0a5
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       2 |                        7 |                     14 |     4 |     8 |             7 |          1 |             0.04 |       true |       177 |             3447.67 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.01 |       true |        59 |              979.55 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.01 |       true |        63 |              979.55 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       2 |                        4 |                      8 |     2 |     4 |             4 |          1 |             0.02 |       true |        99 |             1956.15 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       3 |                        5 |                     15 |     2 |    10 |             5 |          1 |             0.06 |       true |       181 |             3047.03 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       3 |                        9 |                     27 |     5 |    23 |             9 |          1 |             0.22 |       true |       409 |             7306.74 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       3 |                        8 |                     24 |     6 |    15 |             8 |          1 |             0.15 |       true |       317 |             6051.59 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.01 |       true |        59 |              979.55 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       3 |                        9 |                     27 |     5 |    24 |             9 |          1 |             0.21 |       true |       421 |             7306.74 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       3 |                       10 |                     30 |     6 |    26 |            10 |          2 |             0.63 |       true |       459 |             7924.58 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       3 |                       10 |                     30 |     6 |    28 |            10 |          1 |             0.51 |       true |       482 |             7924.58 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       3 |                        8 |                     24 |     6 |    17 |             8 |          1 |             0.16 |       true |       341 |             6330.29 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       3 |                       13 |                     39 |    11 |    26 |            13 |          3 |             1.08 |       true |       545 |            10445.78 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       3 |                       12 |                     36 |    10 |    24 |            12 |          3 |             0.53 |       true |       509 |             9518.88 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       3 |                       12 |                     36 |    11 |    24 |            12 |          3 |             0.56 |       true |       511 |             9518.88 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       2 |                        7 |                     14 |     4 |     9 |             7 |          1 |             0.03 |       true |       200 |             3447.67 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       3 |                        7 |                     21 |     5 |    12 |             7 |          1 |             0.10 |       true |       254 |             5533.14 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       4 |                       16 |                     64 |    12 |    50 |            16 |          2 |          1230.50 |       true |       928 |            17502.73 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                       2 |                        7 |                     14 |     4 |     9 |             7 |          1 |             0.03 |       true |       191 |             3445.16 |
