[i] dataset 50ffedb
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       5 |                        6 |                     30 |     4 |     7 |             6 |          1 |             0.55 |       true |       162 |            12124.57 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        4 |                      8 |     1 |     3 |             3 |          1 |             0.03 |       true |        59 |             3211.15 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        4 |                      8 |     1 |     3 |             3 |          1 |             0.03 |       true |        63 |             3211.15 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       2 |                        6 |                     12 |     2 |     5 |             5 |          1 |             0.06 |       true |       110 |             4825.50 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       5 |                        5 |                     25 |     2 |    10 |             5 |          1 |             0.50 |       true |       179 |            10096.46 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       5 |                       11 |                     55 |     5 |    32 |            11 |          1 |             4.73 |       true |       532 |            22265.12 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       6 |                        7 |                     42 |     6 |    11 |             7 |          1 |             1.55 |       true |       273 |            16992.68 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        4 |                      8 |     1 |     3 |             3 |          1 |             0.03 |       true |        59 |             3211.15 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       5 |                       11 |                     55 |     5 |    29 |            11 |          1 |             7.62 |       true |       491 |            22265.12 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       4 |                       13 |                     52 |     6 |    18 |             8 |          1 |             6.52 |       true |       359 |            21039.46 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       4 |                       13 |                     52 |     6 |    23 |             9 |          1 |             5.11 |       true |       425 |            21039.46 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       4 |                       13 |                     52 |     6 |    19 |             8 |          1 |             4.26 |       true |       370 |            21039.46 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       6 |                       13 |                     78 |    11 |    42 |            13 |          1 |            95.17 |       true |       755 |            31603.21 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       5 |                       16 |                     80 |    10 |    38 |            12 |          1 |            51.57 |       true |       689 |            32405.67 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       6 |                       14 |                     84 |    11 |    26 |            10 |          1 |           738.27 |       true |       550 |            34038.30 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       5 |                        6 |                     30 |     4 |     8 |             6 |          1 |             0.80 |       true |       184 |            12124.57 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       6 |                        7 |                     42 |     5 |    13 |             7 |          1 |             1.65 |       true |       267 |            16992.68 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |          4003.53 |      false |         0 |                0.00 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                       5 |                        6 |                     30 |     4 |     9 |             6 |          1 |             0.73 |       true |       193 |            12124.57 |
