[i] dataset decdd0a5
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           137.27 |      false |         0 |                0.00 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       4 |                       30 |                    120 |     1 |     3 |             3 |          1 |            13.10 |       true |        58 |             1120.67 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       4 |                       30 |                    120 |     1 |     3 |             3 |          1 |            13.43 |       true |        62 |             1120.67 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            97.82 |      false |         0 |                0.00 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           140.68 |      false |         0 |                0.00 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           227.81 |      false |         0 |                0.00 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           225.62 |      false |         0 |                0.00 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       4 |                       30 |                    120 |     1 |     3 |             3 |          1 |            13.52 |       true |        58 |             1120.67 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           213.45 |      false |         0 |                0.00 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           245.37 |      false |         0 |                0.00 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           241.71 |      false |         0 |                0.00 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           230.48 |      false |         0 |                0.00 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           280.71 |      false |         0 |                0.00 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           236.30 |      false |         0 |                0.00 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           280.82 |      false |         0 |                0.00 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           149.08 |      false |         0 |                0.00 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           191.27 |      false |         0 |                0.00 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           302.15 |      false |         0 |                0.00 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           152.87 |      false |         0 |                0.00 |
