[i] dataset decdd0a5
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       5 |                        6 |                     30 |     4 |     7 |             6 |          1 |             1.26 |       true |       163 |             3842.41 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.06 |       true |        59 |              979.55 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.06 |       true |        63 |              979.55 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       3 |                        4 |                     12 |     2 |     4 |             4 |          1 |             0.20 |       true |        98 |             1956.15 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       4 |                       15 |                     60 |     2 |    15 |             8 |          2 |             3.97 |       true |       251 |             7803.37 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           157.17 |      false |         0 |                0.00 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       5 |                       15 |                     75 |     6 |    19 |            15 |          3 |             6.58 |       true |       382 |            20899.23 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.06 |       true |        59 |              979.55 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           155.99 |      false |         0 |                0.00 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       7 |                       21 |                    147 |     6 |    31 |            13 |          2 |            42.83 |       true |       541 |            20502.28 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       7 |                       21 |                    147 |     6 |    27 |            12 |          2 |            41.42 |       true |       487 |            17122.00 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       4 |                       21 |                     84 |     6 |    36 |            21 |          4 |             8.74 |       true |       598 |            20577.78 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           225.24 |      false |         0 |                0.00 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           190.79 |      false |         0 |                0.00 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           219.68 |      false |         0 |                0.00 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       5 |                        6 |                     30 |     4 |     9 |             6 |          1 |             1.40 |       true |       198 |             5629.58 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       4 |                       21 |                     84 |     5 |    25 |            14 |          4 |             7.73 |       true |       425 |            11602.43 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           300.69 |      false |         0 |                0.00 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                       5 |                        6 |                     30 |     4 |    10 |             6 |          1 |             1.43 |       true |       205 |             5629.58 |
