[i] dataset 852f546
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            36.72 |      false |         0 |                0.00 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            14.24 |      false |         0 |                0.00 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            15.02 |      false |         0 |                0.00 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            23.68 |      false |         0 |                0.00 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            43.37 |      false |         0 |                0.00 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            73.43 |      false |         0 |                0.00 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            47.38 |      false |         0 |                0.00 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            15.29 |      false |         0 |                0.00 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            66.58 |      false |         0 |                0.00 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            67.01 |      false |         0 |                0.00 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            73.91 |      false |         0 |                0.00 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            58.20 |      false |         0 |                0.00 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            80.21 |      false |         0 |                0.00 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            62.79 |      false |         0 |                0.00 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            79.02 |      false |         0 |                0.00 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            49.49 |      false |         0 |                0.00 |
