[i] dataset decdd0a5
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            91.42 |      false |         0 |                0.00 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       6 |                        4 |                     24 |     1 |     3 |             3 |          1 |             1.13 |       true |        59 |             1268.12 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       6 |                        4 |                     24 |     1 |     3 |             3 |          1 |             1.08 |       true |        63 |             1268.12 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       9 |                        7 |                     63 |     2 |     4 |             4 |          2 |             5.04 |       true |        98 |             1898.50 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            92.46 |      false |         0 |                0.00 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           139.10 |      false |         0 |                0.00 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           160.70 |      false |         0 |                0.00 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       6 |                        4 |                     24 |     1 |     3 |             3 |          1 |             1.11 |       true |        59 |             1268.12 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           147.85 |      false |         0 |                0.00 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           162.51 |      false |         0 |                0.00 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           150.87 |      false |         0 |                0.00 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           141.66 |      false |         0 |                0.00 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           188.62 |      false |         0 |                0.00 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           157.43 |      false |         0 |                0.00 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           185.70 |      false |         0 |                0.00 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           115.04 |      false |         0 |                0.00 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           110.00 |      false |         0 |                0.00 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           283.01 |      false |         0 |                0.00 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                      10 |                        7 |                     70 |     4 |     8 |             7 |          1 |             8.48 |       true |       181 |             5533.14 |
